Station	Header	Station_Code	Station_Country	Station_Name	Station_LongName	Station_ActiveFromDate	Station_ActiveUntilDate	Station_ProgramGovernance	Station_StationGovernance	Station_PURPM	Station_Latitude	Station_LatitudeRange	Station_Longitude	Station_LongitudeRange	Station_Geometry	Station_DataType	Station_WLTYP	Station_MSTAT	Station_Notes	Station_Deprecated
Station	Record	5741	SE	F3 / A5	F3 / A5	2000		H	545	T	65.16667	0.05000	23.23333	0.10000		ZP~HY~PB~PR~NU	MO	B	Frequent monitoring station for HELCOM.  Includes humic data.  Sampling depth 97 metres.	false 
Station	Record	5742	SE	F33	F33	1948		H	545	E~S~T	60.54167	0.05000	18.93333	0.10000		HY~NU			Winter nutrients.  Includes humic data.  Sampling depth 136 metres.	false 
Station	Record	5743	SE	F64	F64	1950		H	545	E~S~T	60.18333	0.05000	19.15000	0.10000		HY~NU			Winter nutrients.  Includes humic data.  Sampling depth 290 metres.	false 
Station	Record	5744	SE	F9 / A13	F9 / A13	2008		H	545	T~E~S	64.70833	0.05000	22.06667	0.10000		ZB~HY~EU~PP~ZP~PB~PR~NU	MO	B	High frequency monitoring station for HELCOM.  Includes humic data.  Sampling depth 130 metres.	false 
Station	Record	5745	SE	Fågelskär	Fågelskär	2010		H	545	T~E~S	62.84700	0.05000	18.41110	0.10000		EF~PB				false 
Station	Record	5746	SE	Fällsvikshamnen	Fällsvikshamnen	2010		H	545	T~E~S	62.84060	0.05000	18.33430	0.10000		EF~PB				false 
Station	Record	5747	SE	Fjällbacka	Fjällbacka	1977		O~NTL	545	T~B~S	58.63333	0.05000	11.26167	0.10000		CF~EF	C	RH	Fjällbacka	false 
Station	Record	5748	SE	FK 1	FK 1	2008		H	545	E~S~T	65.44900	0.05000	22.87630	0.10000		ZB	MO	B		false 
Station	Record	5749	SE	FK2	FK2	1991		H	545	T~E~S	65.37950	0.05000	23.09783	0.10000		ZB	MO			false 
Station	Record	5750	SE	FLADEN	FLADEN	1965		O~H	545	E~S~T	57.19167	0.05000	11.66667	0.10000		HY~EU~PP~ZB~NU	MO	RP	Frequent monitoring station for HELCOM.  Sampling depth 77 metres. Kattegat N.	false 
