scientific_name	dyntaxa_id	aphia_id	worms_scientific_name	worms_status	worms_rank	worms_kingdom	worms_phylum	worms_class	worms_order	worms_family	worms_genus
Zannichellia	1005579	416221	Zannichellia	accepted	Genus	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Zannichellia
Zostera	1005580	144233	Zostera	accepted	Genus	Plantae	Tracheophyta		Alismatales	Zosteraceae	Zostera
Mytilus edulis	106665	140480	Mytilus edulis	accepted	Species	Animalia	Mollusca		Mytilida	Mytilidae	Mytilus
Najas marina	219579	416207	Najas marina	accepted	Species	Plantae	Tracheophyta		Alismatales	Hydrocharitaceae	Najas
Stuckenia pectinata	219594	588573	Stuckenia pectinata	accepted	Species	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Stuckenia
Potamogeton perfoliatus	219595	416212	Potamogeton perfoliatus	accepted	Species	Plantae	Tracheophyta		Alismatales	Potamogetonaceae	Potamogeton
Ruppia maritima	219604	234031	Ruppia maritima	accepted	Species	Plantae	Tracheophyta		Alismatales	Ruppiaceae	Ruppia
Phragmites australis	219733	416209	Phragmites australis	accepted	Species	Plantae	Tracheophyta		Poales	Poaceae	Phragmites
Elatine hydropiper	221524	715988	Elatine hydropiper	accepted	Species	Plantae	Tracheophyta		Malpighiales	Elatinaceae	Elatine
Ceratophyllum demersum	222389	416204	Ceratophyllum demersum	accepted	Species	Plantae	Tracheophyta		Ceratophyllales	Ceratophyllaceae	Ceratophyllum
Schoenoplectus tabernaemontani	222661	1415740	Schoenoplectus tabernaemontani	accepted	Species	Plantae	Tracheophyta		Poales	Cyperaceae	Schoenoplectus
Myriophyllum spicatum	223347	416205	Myriophyllum spicatum	accepted	Species	Plantae	Tracheophyta		Saxifragales	Haloragaceae	Myriophyllum
Ranunculus baudotii	224928	416217	Ranunculus baudotii	unaccepted	Species	Plantae	Tracheophyta		Ranunculales	Ranunculaceae	Ranunculus
Chara aspera	225236	399466	Chara aspera	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Chara globularis	225244	495148	Chara globularis	accepted	Species	Plantae	Charophyta		Charales	Characeae	Chara
Furcellaria lumbricalis	232570	145620	Furcellaria lumbricalis	accepted	Species	Plantae	Rhodophyta		Gigartinales	Furcellariaceae	Furcellaria
