source_field	dwc_field	from_value	to_value	comments

plankton_sampling_method_code		BTH	Bottom to halocline (included)	
plankton_sampling_method_code		HAU	Haul	
plankton_sampling_method_code		HTT	Top of halocline to thermocline (included)	
plankton_sampling_method_code		IND	Integrated sample	
plankton_sampling_method_code		INP	Integrated sample from photic zone	
plankton_sampling_method_code		MIX	Mixed surface layer	
plankton_sampling_method_code		OTH	Other	
plankton_sampling_method_code		PDD	Pooled sample from distinct depths	
plankton_sampling_method_code		SEP	Separate depths	
plankton_sampling_method_code		TTS	Top of thermocline to surface	
preservation_method_code		ACD	Acidification	
preservation_method_code		ALU	Alkaline lugol	
preservation_method_code		BOU	Bouin's fluid	
preservation_method_code		CHL	Chloroform (=trichloromethane)	
preservation_method_code		CLU	Acid lugol	
preservation_method_code		DTR	Dietrick fixative (10% formaldehyde, 28.5% EtOH, 2% glacial acetic acid)	
preservation_method_code		ETH	Ethanol	
preservation_method_code		ETHG	Ethanol (95%) with Glycerol (to 90% ethanol content)	
preservation_method_code		F4B	Fomaldehye - 4% buffered formaldehyde (ph 7-8)	
preservation_method_code		FET	Formalin - neutral buffered formalin 10% + ethanol	
preservation_method_code		FOR	Formaldehyde	
preservation_method_code		HCL	Acidification with HCL	
preservation_method_code		HNO	Acidification with HNO3	
preservation_method_code		IMS	Industrial methylated spirits	
preservation_method_code		ISO	Isopropanol	
preservation_method_code		LUG	Neutral lugol	
preservation_method_code		NBF	Formalin - neutral buffered formalin 10%	
preservation_method_code		NON	No fixation method used	

	lifeStage	AD	AD (Adult)	
	lifeStage	C1	C1 (Copepodite I)	
	lifeStage	C2	C2 (Copepodite II)	
	lifeStage	C3	C3 (Copepodite III)	
	lifeStage	C4	C4 (Copepodite IV)	
	lifeStage	C5	C5 (Copepodite V)	
	lifeStage	C1-C3	C1-C3 (Copepodite I - Copepodite III)	
	lifeStage	C3-C5	C3-C5 (Copepodite III - Copepodite V)	
	lifeStage	C4-C5	C4-C5 (Copepodite IV - Copepodite V)	
	lifeStage	CN	CN (Copepodite, stage not specified)	
	lifeStage	EG	EG (Egg)	
	lifeStage	EM	EM (Embryo)	
	lifeStage	IM	IM (Immature/sub-adult)	
	lifeStage	JV	JV (Juvenile)	
	lifeStage	LV	LV (Larvae)	
	lifeStage	MX	MX (Mixed for pooled specimens)	
	lifeStage	NP	NP (Nauplius)	
	lifeStage	NS	NS (Not specified)	

sampler_type_code		AD	Anchor dredge	
sampler_type_code		AGT	Agassiz trawl	
sampler_type_code		AQSC	Aquascope	
sampler_type_code		ASK	Askö gravity corer	
sampler_type_code		ASV	Aerial surveillance	
sampler_type_code		BC	Box-corer	
sampler_type_code		BGN	Bongo net	
sampler_type_code		BO	Boillot dredge	
sampler_type_code		BOT	Bottom trawl	
sampler_type_code		BR	Bogorov-Rass net	
sampler_type_code		CH	Charcot dredge	
sampler_type_code		CPOD	C-POD	
sampler_type_code		CM	Camera mounted corer	
sampler_type_code		DA	Day grab	
sampler_type_code		DC	Diver-operated corer	
sampler_type_code		DD	Drilling device	
sampler_type_code		DIV	Diver collected	
sampler_type_code		DROP	Drop trap	
sampler_type_code		DTR	Diving transects	
sampler_type_code		EK	Ekman grab	
sampler_type_code		EN	Endoume dredge	
sampler_type_code		FBW	Ferry box water sampler	
